filename,time_len
aaaaaqqh_s001_t000_preprocessed.pt,336000
aaaaaqow_s002_t001_preprocessed.pt,321750
aaaaaqow_s002_t000_preprocessed.pt,9750
aaaaaqow_s001_t000_preprocessed.pt,307500
aaaaaqov_s004_t001_preprocessed.pt,337250
aaaaaqov_s002_t000_preprocessed.pt,315750
aaaaaqov_s005_t000_preprocessed.pt,317250
aaaaaqov_s001_t000_preprocessed.pt,28500
aaaaaqov_s001_t004_preprocessed.pt,53250
aaaaaqov_s001_t005_preprocessed.pt,60750
aaaaaqov_s001_t006_preprocessed.pt,344250
aaaaaqov_s001_t010_preprocessed.pt,301500
aaaaaqov_s001_t007_preprocessed.pt,221250
aaaaaqov_s001_t003_preprocessed.pt,12000
aaaaaqov_s001_t002_preprocessed.pt,47500
aaaaaqov_s001_t008_preprocessed.pt,494250
aaaaaqov_s001_t001_preprocessed.pt,15500
aaaaaqov_s001_t011_preprocessed.pt,571750
aaaaaqov_s001_t009_preprocessed.pt,46000
aaaaaqov_s003_t000_preprocessed.pt,364000
aaaaaqrr_s002_t001_preprocessed.pt,5750
aaaaaqrr_s002_t002_preprocessed.pt,3180500
aaaaaqrr_s003_t007_preprocessed.pt,75000
aaaaaqrr_s003_t004_preprocessed.pt,150250
aaaaaqrr_s003_t003_preprocessed.pt,75000
aaaaaqrr_s003_t002_preprocessed.pt,150250
aaaaaqrr_s003_t001_preprocessed.pt,150250
aaaaaqrr_s003_t000_preprocessed.pt,75000
aaaaaqrr_s003_t005_preprocessed.pt,75000
aaaaaqrr_s003_t006_preprocessed.pt,150250
aaaaaqrr_s003_t008_preprocessed.pt,150250
aaaaaqrr_s004_t003_preprocessed.pt,150250
aaaaaqrr_s004_t002_preprocessed.pt,150250
aaaaaqrr_s004_t000_preprocessed.pt,75000
aaaaaqrr_s004_t005_preprocessed.pt,150250
aaaaaqrr_s004_t006_preprocessed.pt,150250
aaaaaqrr_s004_t004_preprocessed.pt,75000
aaaaaqrr_s004_t001_preprocessed.pt,150250
aaaaaqrr_s001_t001_preprocessed.pt,341250
aaaaaqry_s001_t001_preprocessed.pt,87750
aaaaaqry_s001_t004_preprocessed.pt,492750
aaaaaqry_s001_t005_preprocessed.pt,54750
aaaaaqry_s001_t003_preprocessed.pt,12750
aaaaaqry_s001_t007_preprocessed.pt,509750
aaaaaqry_s001_t008_preprocessed.pt,38750
aaaaaqry_s001_t000_preprocessed.pt,527750
aaaaaqry_s001_t006_preprocessed.pt,45000
aaaaaqry_s001_t009_preprocessed.pt,1842000
aaaaaqry_s001_t002_preprocessed.pt,2750
aaaaaqsa_s001_t000_preprocessed.pt,310000
aaaaaqsk_s001_t000_preprocessed.pt,352500
aaaaaqqd_s001_t000_preprocessed.pt,316250
aaaaaqrm_s001_t000_preprocessed.pt,307500
aaaaaqru_s001_t002_preprocessed.pt,450500
aaaaaqru_s001_t001_preprocessed.pt,155000
aaaaaqru_s001_t000_preprocessed.pt,169750
aaaaaqrj_s002_t001_preprocessed.pt,1500
aaaaaqrj_s002_t004_preprocessed.pt,258250
aaaaaqrj_s002_t003_preprocessed.pt,145500
aaaaaqrj_s002_t002_preprocessed.pt,2500
aaaaaqrj_s001_t001_preprocessed.pt,23750
aaaaaqrj_s001_t002_preprocessed.pt,196500
aaaaaqrj_s001_t003_preprocessed.pt,3000
aaaaaqrj_s001_t004_preprocessed.pt,101750
aaaaaqpe_s001_t000_preprocessed.pt,346250
aaaaaqpg_s001_t000_preprocessed.pt,389000
aaaaaqpg_s002_t000_preprocessed.pt,330000
aaaaaqpg_s003_t000_preprocessed.pt,140000
aaaaaqpg_s003_t001_preprocessed.pt,175000
aaaaaqpf_s001_t000_preprocessed.pt,336500
aaaaaqpf_s002_t001_preprocessed.pt,289750
aaaaaqpf_s002_t000_preprocessed.pt,12750
aaaaaqqf_s001_t009_preprocessed.pt,5250
aaaaaqqf_s001_t006_preprocessed.pt,83500
aaaaaqqf_s001_t001_preprocessed.pt,224500
aaaaaqqf_s001_t011_preprocessed.pt,632000
aaaaaqqf_s001_t007_preprocessed.pt,329750
aaaaaqqf_s001_t000_preprocessed.pt,111000
aaaaaqqf_s001_t013_preprocessed.pt,23750
aaaaaqqf_s001_t012_preprocessed.pt,369750
aaaaaqqf_s001_t002_preprocessed.pt,187750
aaaaaqqf_s001_t008_preprocessed.pt,438000
aaaaaqqf_s001_t004_preprocessed.pt,40750
aaaaaqqf_s001_t003_preprocessed.pt,18000
aaaaaqqf_s001_t010_preprocessed.pt,104000
aaaaaqqf_s001_t005_preprocessed.pt,16250
aaaaaqpw_s001_t001_preprocessed.pt,337750
aaaaaqpo_s001_t000_preprocessed.pt,379500
aaaaaqqg_s001_t001_preprocessed.pt,579250
aaaaaqqg_s001_t000_preprocessed.pt,327250
aaaaaqpj_s001_t002_preprocessed.pt,303000
aaaaaqoy_s001_t000_preprocessed.pt,360750
aaaaaqqk_s002_t000_preprocessed.pt,2181500
aaaaaqqk_s001_t000_preprocessed.pt,322500
aaaaaqqy_s001_t001_preprocessed.pt,294500
aaaaaqqy_s001_t000_preprocessed.pt,28250
aaaaaqre_s001_t001_preprocessed.pt,312000
aaaaaqsh_s001_t001_preprocessed.pt,328000
aaaaaqsi_s001_t003_preprocessed.pt,53500
aaaaaqsi_s001_t002_preprocessed.pt,11500
